invoice_id,billing_account_id,amount_cents,currency,status,issued_at,paid_at
INV_000000,BILL_000000,265769,usd,paid,2023-04-26T00:00:00,2023-05-01T00:00:00
INV_000001,BILL_000000,169472,usd,open,2023-05-26T00:00:00,
INV_000002,BILL_000001,110892,usd,paid,2023-06-16T00:00:00,2023-06-21T00:00:00
INV_000003,BILL_000001,141808,usd,open,2023-07-16T00:00:00,2023-07-21T00:00:00
INV_000004,BILL_000002,208405,usd,void,2023-07-07T00:00:00,2023-07-12T00:00:00
INV_000005,BILL_000003,476350,usd,paid,2022-09-14T00:00:00,2022-09-19T00:00:00
INV_000006,BILL_000003,366610,usd,void,2022-10-14T00:00:00,2022-10-19T00:00:00
INV_000007,BILL_000003,282703,usd,open,2022-11-13T00:00:00,2022-11-18T00:00:00
INV_000008,BILL_000004,374591,usd,paid,2022-05-27T00:00:00,
INV_000009,BILL_000004,295455,usd,paid,2022-06-26T00:00:00,2022-07-01T00:00:00
INV_000010,BILL_000005,431790,usd,paid,2022-08-25T00:00:00,2022-08-30T00:00:00
INV_000011,BILL_000006,57741,usd,paid,2022-11-10T00:00:00,2022-11-15T00:00:00
INV_000012,BILL_000007,13095,usd,paid,2022-12-26T00:00:00,2022-12-31T00:00:00
INV_000013,BILL_000008,162614,usd,paid,2023-10-19T00:00:00,2023-10-24T00:00:00
INV_000014,BILL_000009,263706,usd,paid,2023-12-14T00:00:00,2023-12-19T00:00:00
INV_000015,BILL_000009,68928,usd,paid,2024-01-13T00:00:00,2024-01-18T00:00:00
INV_000016,BILL_000009,326877,usd,paid,2024-02-12T00:00:00,
INV_000017,BILL_000009,138390,usd,paid,2024-03-13T00:00:00,2024-03-18T00:00:00
INV_000018,BILL_000010,354015,usd,void,2024-03-07T00:00:00,2024-03-12T00:00:00
INV_000019,BILL_000011,455611,usd,paid,2022-05-16T00:00:00,2022-05-21T00:00:00
INV_000020,BILL_000011,144835,usd,paid,2022-06-15T00:00:00,2022-06-20T00:00:00
INV_000021,BILL_000011,277550,usd,open,2022-07-15T00:00:00,2022-07-20T00:00:00
INV_000022,BILL_000012,338390,usd,paid,2022-08-08T00:00:00,
INV_000023,BILL_000012,371732,usd,void,2022-09-07T00:00:00,2022-09-12T00:00:00
INV_000024,BILL_000012,79926,usd,open,2022-10-07T00:00:00,2022-10-12T00:00:00
INV_000025,BILL_000012,107714,usd,paid,2022-11-06T00:00:00,2022-11-11T00:00:00
INV_000026,BILL_000013,103701,usd,paid,2022-05-26T00:00:00,2022-05-31T00:00:00
INV_000027,BILL_000014,375897,usd,paid,2024-03-13T00:00:00,2024-03-18T00:00:00
INV_000028,BILL_000014,82788,usd,paid,2024-04-12T00:00:00,2024-04-17T00:00:00
INV_000029,BILL_000014,246384,usd,open,2024-05-12T00:00:00,2024-05-17T00:00:00
INV_000030,BILL_000015,255011,usd,void,2022-09-17T00:00:00,2022-09-22T00:00:00
INV_000031,BILL_000015,162113,usd,paid,2022-10-17T00:00:00,2022-10-22T00:00:00
INV_000032,BILL_000015,484667,usd,paid,2022-11-16T00:00:00,2022-11-21T00:00:00
INV_000033,BILL_000015,212521,usd,open,2022-12-16T00:00:00,2022-12-21T00:00:00
INV_000034,BILL_000016,493921,usd,open,2022-10-29T00:00:00,2022-11-03T00:00:00
INV_000035,BILL_000016,399006,usd,void,2022-11-28T00:00:00,2022-12-03T00:00:00
INV_000036,BILL_000016,81145,usd,void,2022-12-28T00:00:00,2023-01-02T00:00:00
INV_000037,BILL_000016,177698,usd,paid,2023-01-27T00:00:00,2023-02-01T00:00:00
INV_000038,BILL_000017,99714,usd,paid,2022-08-10T00:00:00,2022-08-15T00:00:00
INV_000039,BILL_000017,166692,usd,paid,2022-09-09T00:00:00,2022-09-14T00:00:00
INV_000040,BILL_000018,425205,usd,paid,2022-04-07T00:00:00,2022-04-12T00:00:00
INV_000041,BILL_000018,283628,usd,paid,2022-05-07T00:00:00,2022-05-12T00:00:00
INV_000042,BILL_000018,41797,usd,paid,2022-06-06T00:00:00,2022-06-11T00:00:00
INV_000043,BILL_000019,226457,usd,open,2023-04-19T00:00:00,2023-04-24T00:00:00
INV_000044,BILL_000019,131993,usd,open,2023-05-19T00:00:00,2023-05-24T00:00:00
INV_000045,BILL_000019,238675,usd,open,2023-06-18T00:00:00,2023-06-23T00:00:00
INV_000046,BILL_000020,445566,usd,paid,2023-01-02T00:00:00,2023-01-07T00:00:00
INV_000047,BILL_000020,277353,usd,paid,2023-02-01T00:00:00,2023-02-06T00:00:00
INV_000048,BILL_000020,386379,usd,paid,2023-03-03T00:00:00,2023-03-08T00:00:00
INV_000049,BILL_000021,453941,usd,void,2023-07-07T00:00:00,
INV_000050,BILL_000022,233964,usd,paid,2023-03-28T00:00:00,2023-04-02T00:00:00
INV_000051,BILL_000023,220359,usd,paid,2022-07-02T00:00:00,2022-07-07T00:00:00
INV_000052,BILL_000024,360378,usd,open,2023-08-05T00:00:00,2023-08-10T00:00:00
INV_000053,BILL_000025,112363,usd,paid,2023-03-27T00:00:00,2023-04-01T00:00:00
INV_000054,BILL_000025,421790,usd,paid,2023-04-26T00:00:00,2023-05-01T00:00:00
INV_000055,BILL_000025,244792,usd,void,2023-05-26T00:00:00,2023-05-31T00:00:00
INV_000056,BILL_000025,342776,usd,paid,2023-06-25T00:00:00,2023-06-30T00:00:00
