ticket_id,support_user_id,subject,priority,status,created_at,resolved_at
TKT_000000,SUP_000000,Integration not working,high,closed,2022-06-04T00:00:00,
TKT_000001,SUP_000000,Data not syncing,medium,solved,2022-07-21T00:00:00,2022-08-12T00:00:00
TKT_000002,SUP_000000,Question about pricing,urgent,closed,2022-12-22T00:00:00,2022-05-25T00:00:00
TKT_000003,SUP_000001,API rate limit exceeded,urgent,solved,2023-07-08T00:00:00,2023-05-20T00:00:00
TKT_000004,SUP_000002,Performance degradation,urgent,open,2024-12-31T00:00:00,2024-03-27T00:00:00
TKT_000005,SUP_000003,Integration not working,low,solved,2024-03-21T00:00:00,
TKT_000006,SUP_000003,Data not syncing,medium,pending,2024-02-19T00:00:00,2023-10-26T00:00:00
TKT_000007,SUP_000003,Question about pricing,high,solved,2024-06-24T00:00:00,2024-09-04T00:00:00
TKT_000008,SUP_000004,Account access issue,urgent,solved,2024-03-16T00:00:00,2024-07-12T00:00:00
TKT_000009,SUP_000004,Integration not working,urgent,solved,2024-06-18T00:00:00,2024-10-06T00:00:00
TKT_000010,SUP_000005,Feature request: bulk export,high,solved,2024-08-28T00:00:00,2024-06-26T00:00:00
TKT_000011,SUP_000005,Question about pricing,medium,closed,2024-03-24T00:00:00,2024-07-30T00:00:00
TKT_000012,SUP_000006,API rate limit exceeded,medium,solved,2024-05-07T00:00:00,2024-04-02T00:00:00
TKT_000013,SUP_000006,Billing discrepancy,medium,solved,2024-07-28T00:00:00,
TKT_000014,SUP_000006,Question about pricing,urgent,closed,2024-05-02T00:00:00,
TKT_000015,SUP_000007,Cannot login to dashboard,high,solved,2023-08-19T00:00:00,
TKT_000016,SUP_000007,API rate limit exceeded,medium,solved,2023-10-05T00:00:00,
TKT_000017,SUP_000008,Data not syncing,urgent,solved,2023-11-23T00:00:00,2023-08-30T00:00:00
TKT_000018,SUP_000008,API rate limit exceeded,medium,pending,2024-02-22T00:00:00,
TKT_000019,SUP_000008,Need to update payment method,urgent,solved,2023-12-04T00:00:00,2023-12-30T00:00:00
TKT_000020,SUP_000009,Feature request: bulk export,medium,closed,2023-07-22T00:00:00,2023-08-09T00:00:00
TKT_000021,SUP_000010,Cannot login to dashboard,medium,solved,2023-03-24T00:00:00,2022-07-23T00:00:00
TKT_000022,SUP_000010,Data not syncing,medium,pending,2022-06-29T00:00:00,
TKT_000023,SUP_000011,Integration not working,urgent,solved,2022-07-29T00:00:00,2023-05-24T00:00:00
TKT_000024,SUP_000011,Need to update payment method,urgent,closed,2022-07-09T00:00:00,
TKT_000025,SUP_000011,Billing discrepancy,urgent,solved,2023-06-12T00:00:00,2022-11-22T00:00:00
TKT_000026,SUP_000012,Billing discrepancy,low,open,2024-01-15T00:00:00,2024-04-16T00:00:00
TKT_000027,SUP_000013,Question about pricing,urgent,pending,2024-03-02T00:00:00,
TKT_000028,SUP_000014,Cannot login to dashboard,low,solved,2023-11-25T00:00:00,
TKT_000029,SUP_000015,Cannot login to dashboard,high,closed,2022-11-16T00:00:00,2022-11-03T00:00:00
TKT_000030,SUP_000015,Need to update payment method,high,solved,2022-03-09T00:00:00,2022-05-30T00:00:00
TKT_000031,SUP_000016,Data not syncing,medium,pending,2022-11-14T00:00:00,
TKT_000032,SUP_000017,Integration not working,medium,solved,2024-06-12T00:00:00,2024-08-11T00:00:00
TKT_000033,SUP_000017,Data not syncing,high,solved,2024-12-01T00:00:00,
TKT_000034,SUP_000017,Integration not working,high,closed,2024-03-12T00:00:00,2025-01-11T00:00:00
TKT_000035,SUP_000018,Billing discrepancy,medium,solved,2022-07-21T00:00:00,2022-11-26T00:00:00
TKT_000036,SUP_000018,Integration not working,high,open,2022-03-17T00:00:00,
TKT_000037,SUP_000018,Feature request: bulk export,urgent,pending,2022-06-14T00:00:00,
TKT_000038,SUP_000019,Feature request: bulk export,medium,solved,2022-03-27T00:00:00,2022-07-25T00:00:00
TKT_000039,SUP_000019,Billing discrepancy,high,solved,2022-09-28T00:00:00,2022-12-06T00:00:00
TKT_000040,SUP_000019,Data not syncing,high,open,2022-03-26T00:00:00,2022-03-31T00:00:00
TKT_000041,SUP_000020,Feature request: bulk export,medium,solved,2024-09-05T00:00:00,2024-02-02T00:00:00
TKT_000042,SUP_000020,Integration not working,low,pending,2024-07-09T00:00:00,
TKT_000043,SUP_000020,Data not syncing,medium,open,2024-05-31T00:00:00,
TKT_000044,SUP_000021,Account access issue,medium,solved,2024-06-22T00:00:00,2024-02-21T00:00:00
TKT_000045,SUP_000021,Feature request: bulk export,low,closed,2024-04-24T00:00:00,
TKT_000046,SUP_000021,Question about pricing,medium,pending,2024-09-08T00:00:00,2025-01-15T00:00:00
TKT_000047,SUP_000022,Cannot login to dashboard,low,pending,2024-03-20T00:00:00,2023-09-05T00:00:00
TKT_000048,SUP_000022,Question about pricing,medium,solved,2023-06-26T00:00:00,2023-10-08T00:00:00
TKT_000049,SUP_000023,Feature request: bulk export,high,open,2022-04-30T00:00:00,2022-09-29T00:00:00
TKT_000050,SUP_000024,Cannot login to dashboard,urgent,pending,2023-08-22T00:00:00,2024-01-03T00:00:00
TKT_000051,SUP_000024,Account access issue,high,solved,2023-09-07T00:00:00,
TKT_000052,SUP_000024,Performance degradation,urgent,closed,2023-02-05T00:00:00,2023-02-17T00:00:00
TKT_000053,SUP_000025,Billing discrepancy,urgent,pending,2023-05-19T00:00:00,2022-09-25T00:00:00
