referral_id,partner_lead_id,referring_partner,referral_type,notes,created_at
REF_000000,PTR_000000,CloudFirst Consulting,inbound,,2023-02-22T00:00:00
REF_000001,PTR_000002,dbt Labs Partners,inbound,,2024-04-19T00:00:00
REF_000002,PTR_000005,CloudFirst Consulting,co-sell,Existing dbt user looking for identity resolution,2023-09-10T00:00:00
REF_000003,PTR_000007,dbt Labs Partners,marketplace,Existing dbt user looking for identity resolution,2023-08-25T00:00:00
REF_000004,PTR_000008,BigQuery Alliance,co-sell,Existing dbt user looking for identity resolution,2023-02-05T00:00:00
REF_000005,PTR_000009,Snowflake SI Network,inbound,Migrating from legacy MDM,2023-03-08T00:00:00
REF_000006,PTR_000010,BigQuery Alliance,marketplace,"Evaluated competitor, needs better matching",2023-09-02T00:00:00
REF_000007,PTR_000011,Snowflake SI Network,inbound,Migrating from legacy MDM,2022-10-21T00:00:00
REF_000008,PTR_000014,Databricks ISV Program,inbound,"Evaluated competitor, needs better matching",2022-09-21T00:00:00
REF_000009,PTR_000016,Databricks ISV Program,co-sell,,2024-01-22T00:00:00
REF_000010,PTR_000017,DataStack Partners,marketplace,HIPAA compliance requirement,2022-09-06T00:00:00
REF_000011,PTR_000020,Databricks ISV Program,co-sell,Existing dbt user looking for identity resolution,2023-11-09T00:00:00
REF_000012,PTR_000021,DataStack Partners,marketplace,Met at Snowflake Summit,2023-01-02T00:00:00
REF_000013,PTR_000022,CloudFirst Consulting,co-sell,Met at Snowflake Summit,2023-03-20T00:00:00
REF_000014,PTR_000023,CloudFirst Consulting,inbound,Migrating from legacy MDM,2022-11-06T00:00:00
REF_000015,PTR_000025,dbt Labs Partners,co-sell,,2023-11-12T00:00:00
REF_000016,PTR_000026,Snowflake SI Network,marketplace,HIPAA compliance requirement,2024-04-17T00:00:00
REF_000017,PTR_000027,Snowflake SI Network,inbound,Met at Snowflake Summit,2022-01-20T00:00:00
REF_000018,PTR_000028,dbt Labs Partners,marketplace,Migrating from legacy MDM,2023-10-26T00:00:00
REF_000019,PTR_000029,DataStack Partners,co-sell,,2023-08-09T00:00:00
